ns_prefix,parent_property_name,property_name,type_prefix,type_name,definition
nc,Activity,Activity,nc,ActivityType,"A single or set of related actions, events, or process steps."
nc,Activity,ActivityActualDuration,niem-xs,duration,An actual duration of an activity.
nc,Activity,ActivityApprovedIndicator,niem-xs,boolean,True if the activity request was approved; false otherwise.
nc,Activity,ActivityAssignedDate,nc,DateType,A date on which an activity was assigned.
nc,Activity,ActivityAugmentationPoint,,,An augmentation point for ActivityType.
nc,Activity,ActivityCapacityQuantity,nc,QuantityType,A number for the specified maximum enrollment capacity of an activity.
nc,Activity,ActivityCategoryAbstract,,,A data concept for a kind of activity.
nc,Activity,ActivityComment,nc,CommentType,A comment about the activity.
nc,Activity,ActivityCompletedIndicator,niem-xs,boolean,True if an activity has ended; false otherwise.
nc,Activity,ActivityContactEntity,nc,EntityType,A person or organization to contact for additional information about an activity.
nc,Activity,ActivityDate,nc,DateType,A date of an activity.
nc,Activity,ActivityDescriptionText,nc,TextType,A description of an activity.
nc,Activity,ActivityDisposition,nc,DispositionType,A result or outcome of an activity.
nc,Activity,ActivityDueDate,nc,DateType,A date when an activity is expected to be completed.
nc,Activity,ActivityEffectiveDate,nc,DateType,A date when an activity is ready for service or action.
nc,Activity,ActivityEstimatedDuration,niem-xs,duration,An expected amount of time an activity should last.
nc,Activity,ActivityFrequencyText,nc,TextType,A description of the number of occurrences of an activity over a period of time.
nc,Activity,ActivityIdentification,nc,IdentificationType,An identification that references an activity.
nc,Activity,ActivityLocation,nc,LocationType,A location of an activity.
nc,Activity,ActivityName,nc,TextType,A name of an activity.
nc,Activity,ActivityNarrative,nc,CommentType,An account of an activity as reported by an observer.
nc,Activity,ActivityPrescribedDuration,niem-xs,duration,A prescribed period of time allowed or required for an activity.
nc,Activity,ActivityReasonAbstract,,,A data concept for a reason for an activity.
nc,Activity,ActivityReportedDate,nc,DateType,A date an activity was reported to some entity.
nc,Activity,ActivityRequestedDate,nc,DateType,A date an activity was requested by an entity.
nc,Activity,ActivityScheduledDate,nc,DateType,A date when an activity is scheduled.
nc,Activity,ActivitySequenceNumeric,nc,NumericType,A numerical identifier across multiple activities to define the order that they should be scheduled and undertaken.
nc,Activity,ActivityStatus,nc,StatusType,A status of an activity.
nc,Activity,ActivityVerifiedDate,nc,DateType,A date when an activity is verified.
nc,Address,Address,nc,AddressType,"A set of location information, often described by postal information."
nc,Address,AddressAugmentationPoint,,,An augmentation point for AddressType.
nc,Address,AddressCategoryAbstract,,,A data concept for a kind of address.
nc,Address,AddressCityName,nc,ProperNameTextType,A name of a city or town.
nc,Address,AddressCountry,nc,CountryType,"A country, territory, dependency, or other such geopolitical subdivision of a location."
nc,Address,AddressCountyAbstract,,,"A data concept for a county, parish, vicinage, or other such geopolitical subdivision of a state."
nc,Address,AddressDeliveryPointAbstract,,,A data concept for a single place or unit at which mail is delivered.
nc,Address,AddressFullText,nc,TextType,A complete address.
nc,Address,AddressPostalCode,niem-xs,string,An identifier of a post office-assigned zone for an address.
nc,Address,AddressPostalExtensionCode,niem-xs,string,An identifier of a smaller area within a post office-assigned zone for an address.
nc,Address,AddressPrivateMailboxText,nc,TextType,A private mailbox within a company.
nc,Address,AddressRecipientName,nc,TextType,"A name of a person, organization, or other recipient to whom physical mail may be sent."
nc,Address,AddressSecondaryUnitText,nc,TextType,A particular unit within a larger unit or grouping at a location.
nc,Address,AddressState,nc,StateType,"A state, commonwealth, province, or other such geopolitical subdivision of a country."
nc,Address,AddressUrbanizationName,nc,TextType,"An urbanization denotes an area, sector, or residential development within a geographic area. Commonly used in Puerto Rican urban areas, it is an important part of the addressing format, as it describes the location of a specific street whose name may occur multiple times within the same ZIP Code."
nc,Association,Association,nc,AssociationType,"An association, connection, relationship, or involvement somehow linking people, things, and/or activities together."
nc,Association,AssociationAugmentationPoint,,,An augmentation point for AssociationType.
nc,Association,AssociationDateRange,nc,DateRangeType,A date range in which an association occurs.
nc,Association,AssociationDescriptionText,nc,TextType,A description of an association.
nc,Case,Case,nc,CaseType,An aggregation of information about a set of related activities and events.
nc,Case,CaseAugmentationPoint,,,An augmentation point for CaseType.
nc,Case,CaseCategoryAbstract,,,A data concept for a kind of case.
nc,Case,CaseDocketID,niem-xs,string,An identifier used to reference a case docket.
nc,Case,CaseFiling,nc,DocumentType,A document or other piece of information filed by someone or something involved in a case.
nc,Case,CaseGeneralCategoryAbstract,,,A data concept for a broadly defined kind of case.
nc,Case,CaseResolutionText,nc,TextType,A result of a case.
nc,Case,CaseSubCategoryAbstract,,,A data concept for a more specific classification of a kind of case.
nc,Case,CaseTitleText,nc,TextType,An official name of a case.
nc,Case,CaseTrackingID,niem-xs,string,An identifier used to track a case.
nc,Case,CaseYearDate,niem-xs,gYear,A year a case is opened.
nc,Document,Document,nc,DocumentType,A paper or electronic document.
nc,Document,DocumentApprovedIndicator,niem-xs,boolean,True if a document has been approved; false otherwise.
nc,Document,DocumentAugmentationPoint,,,An augmentation point for DocumentType.
nc,Document,DocumentAuthor,nc,EntityType,An entity primarily responsible for creating the intellectual content of the resource.
nc,Document,DocumentCategoryAbstract,,,A data concept for a kind of document.
nc,Document,DocumentCategoryDescriptionText,nc,TextType,A description of a kind of information in a document.
nc,Document,DocumentContentAbstract,,,A data concept for the content of a document.
nc,Document,DocumentContentListText,nc,TextType,"A list of the chapters, sections, or other divisions of a document."
nc,Document,DocumentContributor,nc,EntityType,An entity responsible for making contributions to the content of the resource.
nc,Document,DocumentCopyrightIndicator,niem-xs,boolean,True if a document is copyrighted; false otherwise.
nc,Document,DocumentCountry,nc,CountryType,A country being discussed in a document.
nc,Document,DocumentCoverageAbstract,,,A data concept for an extent or scope of the content of the resource.
nc,Document,DocumentCreationDate,nc,DateType,A date a document was created.
nc,Document,DocumentDescriptionText,nc,TextType,A description of the content of a document.
nc,Document,DocumentDispositionAuthorityName,nc,TextType,A name of an authority designated to handle or process information in a document.
nc,Document,DocumentDispositionInstructionText,nc,TextType,An instruction on how to handle or process information in a document.
nc,Document,DocumentDisputedIndicator,niem-xs,boolean,True if the accuracy of a document is disputed; false otherwise.
nc,Document,DocumentDisputedReasonAbstract,,,A data concept for a reason why the accuracy of a document is disputed.
nc,Document,DocumentEffectiveDate,nc,DateType,"A date in which the content or action becomes enforceable, active, or effective."
nc,Document,DocumentEntrySubmitter,nc,PersonType,A person who contributed an entry in a document.
nc,Document,DocumentEUDataPrivacyIndicator,niem-xs,boolean,True if the data is protected under the EU Data Protection Regulation 2016-679 and should be treated differently; false otherwise.
nc,Document,DocumentExpirationDate,nc,DateType,A date after which the document is no longer valid. It may indicate a document should be removed from a registry or index.
nc,Document,DocumentFileControlID,niem-xs,string,An identifier assigned to a document to locate it within a file control system.
nc,Document,DocumentFiledDate,nc,DateType,A date a document was officially filed with an organization or agency.
nc,Document,DocumentFileExtensionText,nc,TextType,"A file extension of an electronic document. The file extension should correspond appropriately with the document format information, if provided."
nc,Document,DocumentFileName,nc,TextType,A file name of an electronic document.
nc,Document,DocumentFormatAbstract,,,"A data concept for a file format, content type (e.g., a MIME type), or physical format of a document."
nc,Document,DocumentFormatCategoryAbstract,,,A data concept for a kind of classification system used to define the specific format of a binary object or file.
nc,Document,DocumentGroupID,niem-xs,string,An identifier of a group to which a document belongs.
nc,Document,DocumentIdentification,nc,IdentificationType,An identification that references a document.
nc,Document,DocumentInformationCutOffDate,nc,DateType,A date after which contributions to the content of a document will no longer be accepted.
nc,Document,DocumentIntelligenceCategoryAbstract,,,A data concept for a nature or genre of the resource.
nc,Document,DocumentIssuanceLocation,nc,LocationType,A location from which a document was issued.
nc,Document,DocumentIssueDate,nc,DateType,"A date at which a document was issued and when appropriate, signed or otherwise authenticated."
nc,Document,DocumentKeywordAbstract,,,A data concept for a significant word or phrase that describes the overall content of a document or its main topic.
nc,Document,DocumentLanguage,nc,LanguageType,A language of the content of the resource.
nc,Document,DocumentLastModifiedDate,nc,DateType,A date a document was last changed.
nc,Document,DocumentLocation,nc,LocationType,A location of a physical document.
nc,Document,DocumentLocationURI,niem-xs,anyURI,A location of an electronic representation of a document.
nc,Document,DocumentManagementCyclePeriodText,nc,TextType,A review or update cycle period for a document.
nc,Document,DocumentOtherRecipient,nc,EntityType,A name of additional addressees.
nc,Document,DocumentPermanentRecordIndicator,niem-xs,boolean,True if a document is to be kept as a permanent record; false otherwise.
nc,Document,DocumentPhysicalMediumCategoryAbstract,,,A data concept for a material or physical carrier for storing a document.
nc,Document,DocumentPhysicalMediumText,nc,TextType,A material or physical carrier for storing a document.
nc,Document,DocumentPostDate,nc,DateType,A date a document is entered or posted to an information system or network; used when the date of posting is different from the date on which a document was officially filed.
nc,Document,DocumentPrivacyActIndicator,niem-xs,boolean,True if a document is categorized as containing personal information subject to protection by the Privacy Act; false otherwise.
nc,Document,DocumentPublicationDate,nc,DateType,A date of the first public dissemination of the content in any media.
nc,Document,DocumentReceivedDate,nc,DateType,A date a transmitted document was received.
nc,Document,DocumentRecipient,nc,EntityType,An entity that is a target or intended recipient of a document.
nc,Document,DocumentRelatedResourceText,nc,TextType,A reference to another document or resource related to the document.
nc,Document,DocumentRightsText,nc,TextType,"A right held in and over the resource. Rights are the constraints applied to assure the protection of privacy or intellectual property, and any special restrictions, limitations or warning on using a shared resource."
nc,Document,DocumentSensitivityAbstract,,,"A data concept for a characterization of the sensitivity, security, or privacy level of a document."
nc,Document,DocumentSequenceID,niem-xs,string,An identifier that determines the document order in a set of related documents.
nc,Document,DocumentSoftware,nc,SoftwareType,A name of a computer application used to process a document.
nc,Document,DocumentSource,nc,EntityType,An entity that was the source of a document.
nc,Document,DocumentSourceText,nc,TextType,A source from which the content of a document is derived.
nc,Document,DocumentStatus,nc,StatusType,A status of a document.
nc,Document,DocumentStatusCategoryAbstract,,,A data concept for a kind of status of a document.
nc,Document,DocumentSubjectAbstract,,,A data concept for a subject code systems used and the appropriate subject code assigned to the document.
nc,Document,DocumentSubmissionAmount,nc,AmountType,A fee or price required to submit a document.
nc,Document,DocumentSubmitter,nc,EntityType,An entity responsible for making the resource available.
nc,Document,DocumentSummaryText,nc,TextType,"A short description of the subject, content, and key points of a document."
nc,Document,DocumentSupplementalMarkingText,nc,TextType,A marking made on a document that is not part of the original content and that was added after a document was finalized.
nc,Document,DocumentTitleAlternativeText,nc,TextType,A title used as a substitute or alternative to the formal title of a document.
nc,Document,DocumentTitleText,nc,TextType,A name given to a document.
nc,Document,DocumentVitalIndicator,niem-xs,boolean,True if a document is categorized as a vital record by the originating agency; false otherwise.
nc,Entity,Entity,nc,EntityType,"A person, organization, or item."
nc,Entity,EntityAugmentationPoint,,,An augmentation point for EntityType.
nc,Entity,EntityLegalIndicator,niem-xs,boolean,True if an entity is capable of bearing legal rights and responsibilities; false otherwise.
nc,Entity,EntityRepresentation,,,A data concept for a representation of an entity.
nc,Facility,Facility,nc,FacilityType,"A single or set of buildings, places, or structures that together provide a particular service."
nc,Facility,FacilityAugmentationPoint,,,An augmentation point for FacilityType.
nc,Facility,FacilityCapacityDescriptionText,nc,TextType,A description of the number of people a facility can manage at a time.
nc,Facility,FacilityCapacityQuantity,niem-xs,nonNegativeInteger,A number of people a facility can manage at a time.
nc,Facility,FacilityCategory,nc,FacilityFunctionType,A category of facility.
nc,Facility,FacilityContactInformation,nc,ContactInformationType,A method of contact for a facility.
nc,Facility,FacilityContainsItem,nc,ItemType,An item contained by a facility.
nc,Facility,FacilityDescriptionText,nc,TextType,A description of a facility.
nc,Facility,FacilityIdentification,nc,IdentificationType,An identification assigned to a facility.
nc,Facility,FacilityLocation,nc,LocationType,A location of a facility.
nc,Facility,FacilityMaxOccupancyQuantity,niem-xs,nonNegativeInteger,A maximum number of people that are authorized by permit to be contained in a facility at the same time.
nc,Facility,FacilityMemberCategoryText,nc,TextType,A kind of occupant a facility manages.
nc,Facility,FacilityName,nc,ProperNameTextType,A name of a facility.
nc,Facility,FacilityOperatingSchedule,nc,ScheduleType,"A schedule providing the beginning and ending hours of operation by weekday, for a designated time period."
nc,Facility,FacilityOperationalStatus,nc,StatusType,An operational status of a facility.
nc,Facility,FacilitySecurityLevelAbstract,,,A data concept for a level of security at which a facility operates.
nc,Facility,FacilitySiteDiagram,nc,ImageType,A diagram of the layout of a facility.
nc,Facility,FacilitySystemIdentification,nc,SystemIdentificationType,An identification of a computing system that supports a facility's activities.
nc,Facility,FacilitySystemIPAddressID,niem-xs,string,An IP address of a computing system that supports a facility's activities.
nc,Facility,FacilityUsage,nc,FacilityFunctionType,A functional usage of a facility.
nc,Identification,Identification,nc,IdentificationType,An identification to represent an identity.
nc,Identification,IdentificationAugmentationPoint,,,An augmentation point for IdentificationType.
nc,Identification,IdentificationCategoryAbstract,,,A data concept for a kind of identification.
nc,Identification,IdentificationCategoryDescriptionText,nc,TextType,A description of a kind of identification.
nc,Identification,IdentificationEffectiveDate,nc,DateType,A date an identification takes effect.
nc,Identification,IdentificationExpirationDate,nc,DateType,A date after which an identification is no longer valid.
nc,Identification,IdentificationID,niem-xs,string,An identifier.
nc,Identification,IdentificationJurisdiction,nc,JurisdictionType,"An area, region, or unit where a unique identification is issued."
nc,Identification,IdentificationSourceText,nc,TextType,"A person, organization, or locale which issues an identification."
nc,Identification,IdentificationStatus,nc,StatusType,A status of an identification.
nc,Item,Item,nc,ItemType,An article or thing.
nc,Item,ItemActionText,nc,TextType,An action that was taken against a property item.
nc,Item,ItemAgeMeasure ,nc,TimeMeasureType,An age of an item.
nc,Item,ItemAugmentationPoint,,,An augmentation point for ItemType.
nc,Item,ItemBarCodeIdentification,nc,IdentificationType,A bar code identification assigned to a property item.
nc,Item,ItemBinary,nc,BinaryType,A binary representation of an item.
nc,Item,ItemBrandName,nc,ProperNameTextType,A distinctive name that identifies a manufacturer of a property item.
nc,Item,ItemCategoryAbstract ,,,A data concept for a kind of item.
nc,Item,ItemColorDescriptionText,nc,TextType,A description of the overall color of an item.
nc,Item,ItemColorPrimaryAbstract,,,A data concept for a primary color of an item.
nc,Item,ItemColorSecondaryAbstract,,,A data concept for a secondary color of an item.
nc,Item,ItemConditionAbstract,,,A data concept for a state or appearance of an item.
nc,Item,ItemCurrentResaleValue,nc,ItemValueType,An amount of money for which an item could currently be sold.
nc,Item,ItemDealerIdentification,nc,IdentificationType,An identification assigned to an item by a dealer.
nc,Item,ItemDescriptionText,nc,TextType,A description of an item.
nc,Item,ItemDisposition,nc,ItemDispositionType,A result or outcome that happens to an item after it has been handled or processed.
nc,Item,ItemFirstSoldYearDate,niem-xs,gYear,A calendar year in which an item was first sold.
nc,Item,ItemHeightMeasure,nc,LengthMeasureType,A measurement of the height of an item.
nc,Item,ItemImage,nc,ImageType,A binary representation of an image of an item.
nc,Item,ItemLeaseIndicator,niem-xs,boolean,True if an item is leased; false otherwise.
nc,Item,ItemLengthMeasure,nc,LengthMeasureType,A measurement of the length of an item.
nc,Item,ItemMakeAbstract,,,A data concept for a manufacturer that produced an item.
nc,Item,ItemModelName,nc,ProperNameTextType,A name of a specific design or kind of item made by a manufacturer.
nc,Item,ItemModelYearDate,niem-xs,gYear,A year in which an item was manufactured or produced.
nc,Item,ItemName,nc,TextType,A name of an item.
nc,Item,ItemOtherIdentification,nc,IdentificationType,An identification assigned to an item.
nc,Item,ItemOwner,nc,EntityType,An entity which owns a property item.
nc,Item,ItemOwnerAppliedID,niem-xs,string,An identifier applied to an item by the owner.
nc,Item,ItemOwnerPurchasedValue,nc,ItemValueType,An amount of money a current owner paid to purchase a property item.
nc,Item,ItemOwnershipCategoryAbstract,,,A data concept for a kind of ownership of an item.
nc,Item,ItemPossessionDescriptionText,nc,TextType,A description of how or why a party other than the owner came to possess a property item.
nc,Item,ItemPossessor,nc,EntityType,An entity other than the owner which has possession of an item.
nc,Item,ItemQuantity,nc,QuantityType,A count of the individual units which make up an item.
nc,Item,ItemReceiptIdentification,nc,IdentificationType,An identification issued to an item when taken into possession for official purposes.
nc,Item,ItemRentalIndicator,niem-xs,boolean,True if an item is rented; false otherwise.
nc,Item,ItemRFIdentification,nc,IdentificationType,An identification of an item based on radio waves.
nc,Item,ItemSalesTaxPercent,nc,PercentType,A tax rate as a percentage used for computing the sales tax on the purchase of an item.
nc,Item,ItemSerialIdentification,nc,IdentificationType,"An identification inscribed on or attached to a part, collection of parts, or complete unit by the manufacturer."
nc,Item,ItemSizeDescriptionText,nc,TextType,A description of the size or physical dimensions of an item.
nc,Item,ItemStateIdentification,nc,IdentificationType,A state-assigned identification for an item.
nc,Item,ItemStatus,nc,StatusType,A status of an item.
nc,Item,ItemStyleAbstract,,,A data concept for a style of an item.
nc,Item,ItemUsageText,nc,TextType,A manner or way in which an item is used.
nc,Item,ItemValue,nc,ItemValueType,An evaluation of the monetary worth of an item.
nc,Item,ItemVisibleID,niem-xs,string,An identifier of an item that is visible on the item itself.
nc,Item,ItemWeightMeasure,nc,WeightMeasureType,A measurement of the weight of an item.
nc,Item,ItemWidthMeasure,nc,LengthMeasureType,A measurement of the width of an item.
nc,Location,Location,nc,LocationType,A geospatial location.
nc,Location,LocationAddressAbstract,,,"A data concept for a set of information, such as postal information, used to describe a location."
nc,Location,LocationArea,nc,AreaType,A location identified by geographic boundaries.
nc,Location,LocationAugmentationPoint,,,An augmentation point for LocationType.
nc,Location,LocationCategoryAbstract,,,A data concept for a kind or functional description of a location.
nc,Location,LocationContactInformation,nc,ContactInformationType,A set of contact information for a location.
nc,Location,LocationDescriptionText,nc,TextType,A description of a location.
nc,Location,LocationDirectionsText,nc,TextType,A set of directions to a location.
nc,Location,LocationGeospatialCoordinateAbstract,,,A data concept for a geospatial location.
nc,Location,LocationHeightAbstract,,,A data concept for a measure of the height of a location.
nc,Location,LocationIdentification,nc,IdentificationType,An identification of a Location.
nc,Location,LocationLandmarkAbstract,,,A data concept for a distinguishing physical feature at a location.
nc,Location,LocationLocale,nc,LocaleType,A geopolitical area.
nc,Location,LocationMapLocation,nc,MapLocationType,A location identified by map or grid coordinates.
nc,Location,LocationName,nc,ProperNameTextType,A name of a location.
nc,Location,LocationPart,nc,LocationPartType,"A unit within a facility, building, or structure at a location."
nc,Location,LocationRangeDescriptionText,nc,TextType,A description of the boundary or range of a location.
nc,Location,LocationRelativeLocation,nc,RelativeLocationType,A location identified by its proximity to another location.
nc,Location,LocationSurroundingAreaDescriptionText,nc,TextType,A description of the immediate area around a location.
nc,Metadata,Metadata,nc,MetadataType,Information that further qualifies primary data; data about data.
nc,Metadata,AdministrativeID,niem-xs,string,An identifier generated locally within a processing system used to identify sub-records within an entity of interest record.
nc,Metadata,CaveatText,nc,TextType,A warning or caution about the information.
nc,Metadata,Comment,nc,CommentType,"A comment, note, or remark."
