Release,UnionTypeNamespacePrefix,UnionTypeName,UnionQualifiedType,MemberTypeNamespacePrefix,MemberTypeName,MemberQualifiedType
5.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,HypothenarPositionCodeSimpleType,biom:HypothenarPositionCodeSimpleType
5.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,MobileFingerPositionCodeSimpleType,biom:MobileFingerPositionCodeSimpleType
5.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,SlapFingerPositionCodeSimpleType,biom:SlapFingerPositionCodeSimpleType
5.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,SupplementalFingerPositionCodeSimpleType,biom:SupplementalFingerPositionCodeSimpleType
5.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
5.1,biom,ExemplarFingerPositionCodeSimpleType,biom:ExemplarFingerPositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
5.1,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,PalmPositionCodeSimpleType,biom:PalmPositionCodeSimpleType
5.1,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,PlantarPositionCodeSimpleType,biom:PlantarPositionCodeSimpleType
5.1,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
5.1,biom,FrictionRidgePositionCodeSimpleType,biom:FrictionRidgePositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
5.1,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
5.1,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,PalmPositionCodeSimpleType,biom:PalmPositionCodeSimpleType
5.1,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,PlantarPositionCodeSimpleType,biom:PlantarPositionCodeSimpleType
5.1,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,SupplementalFingerPositionCodeSimpleType,biom:SupplementalFingerPositionCodeSimpleType
5.1,biom,LatentFrictionRidgePositionCodeSimpleType,biom:LatentFrictionRidgePositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
5.1,biom,LegacyExemplarFingerPositionCodeSimpleType,biom:LegacyExemplarFingerPositionCodeSimpleType,biom,SlapFingerPositionCodeSimpleType,biom:SlapFingerPositionCodeSimpleType
5.1,biom,LegacyExemplarFingerPositionCodeSimpleType,biom:LegacyExemplarFingerPositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
5.1,biom,LipCharacterizationCodeSimpleType,biom:LipCharacterizationCodeSimpleType,biom,LipPatternSimpleType,biom:LipPatternSimpleType
5.1,biom,LipCharacterizationCodeSimpleType,biom:LipCharacterizationCodeSimpleType,biom,LipPrintCodeSimpleType,biom:LipPrintCodeSimpleType
5.1,biom,MajorCasePrintCodeSimpleType,biom:MajorCasePrintCodeSimpleType,biom,FingerViewCodeSimpleType,biom:FingerViewCodeSimpleType
5.1,biom,MajorCasePrintCodeSimpleType,biom:MajorCasePrintCodeSimpleType,biom,SegmentLocationCodeSimpleType,biom:SegmentLocationCodeSimpleType
5.1,biom,NISTQualityMeasureSimpleType,biom:NISTQualityMeasureSimpleType,biom,Integer1To5SimpleType,biom:Integer1To5SimpleType
5.1,biom,NISTQualityMeasureSimpleType,biom:NISTQualityMeasureSimpleType,biom,QualityScoreFailureCodeSimpleType,biom:QualityScoreFailureCodeSimpleType
5.1,biom,QualityScoreSimpleType,biom:QualityScoreSimpleType,biom,Integer0To100SimpleType,biom:Integer0To100SimpleType
5.1,biom,QualityScoreSimpleType,biom:QualityScoreSimpleType,biom,QualityScoreFailureCodeSimpleType,biom:QualityScoreFailureCodeSimpleType
5.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,HypothenarPositionCodeSimpleType,biom:HypothenarPositionCodeSimpleType
5.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,MobileFingerPositionCodeSimpleType,biom:MobileFingerPositionCodeSimpleType
5.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,SlapFingerPositionCodeSimpleType,biom:SlapFingerPositionCodeSimpleType
5.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,SupplementalFingerPositionCodeSimpleType,biom:SupplementalFingerPositionCodeSimpleType
5.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,UnknownPositionCodeSimpleType,biom:UnknownPositionCodeSimpleType
5.1,biom,SupplementalFrictionRidgePositionCodeSimpleType,biom:SupplementalFrictionRidgePositionCodeSimpleType,biom,FingerPositionCodeSimpleType,biom:FingerPositionCodeSimpleType
5.1,mo,TelephoneNumberCategoryCodeSimpleType,mo:TelephoneNumberCategoryCodeSimpleType,xCard,TelephoneCategoryCodeSimpleType,xCard:TelephoneCategoryCodeSimpleType
5.1,mo,TelephoneNumberCategoryCodeSimpleType,mo:TelephoneNumberCategoryCodeSimpleType,mo,TelephoneNumberCategoryAdditionalCodeSimpleType,mo:TelephoneNumberCategoryAdditionalCodeSimpleType
